row_id,is_urban,age,female,married,education_level,literacy,can_add,can_divide,can_calc_percents,can_calc_compounding,employed_last_year,share_hh_income_provided,income_ag_livestock_last_year,income_friends_family_last_year,income_government_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,cash_property_savings,has_insurance,has_investment,bank_interest_rate,mm_interest_rate,mfi_interest_rate,other_fsp_interest_rate,num_shocks_last_year,avg_shock_strength_last_year,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,phone_technology,can_call,can_text,can_use_internet,can_make_transaction,phone_ownership,advanced_phone_use,reg_bank_acct,reg_mm_acct,reg_formal_nbfi_account,financially_included,active_bank_user,active_mm_user,active_formal_nbfi_user,active_informal_nbfi_user,nonreg_active_mm_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year,poverty_probability,country_A,country_C,country_D,country_F,country_G,country_I,country_J,religion_N,religion_O,religion_P,religion_Q,religion_X,relationship_to_hh_head_Father/Mother,relationship_to_hh_head_Head,relationship_to_hh_head_Other,relationship_to_hh_head_Sister/Brother,relationship_to_hh_head_Son/Daughter,relationship_to_hh_head_Spouse,relationship_to_hh_head_Unknown,employment_category_last_year_employed,employment_category_last_year_housewife_or_student,employment_category_last_year_other,employment_category_last_year_retired_or_disabled,employment_category_last_year_unemployed,employment_type_last_year_irregular_seasonal,employment_type_last_year_not_working,employment_type_last_year_other,employment_type_last_year_salaried,employment_type_last_year_self_employed
0,0,18,1,1,1.0,1,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0.515,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,30,1,1,1.0,1,1,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0.981,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,0,20,1,1,1.0,1,1,1,1,0,1,1.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3,0,61,0,1,0.0,0,1,1,0,1,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,0,26,1,1,1.0,1,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0.7959999999999999,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
5,1,36,1,1,1.0,0,1,1,0,0,0,1.0,0,1,0,0,0,0,1,2,1,0,0,0,0,0.0,0.0,0.0,0.0,1,4.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.915,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
6,0,35,0,1,1.0,0,1,1,0,1,1,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0.447,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,1,33,1,1,1.0,1,1,1,1,1,1,3.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1,1.0,0,0,0,2,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0.612,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8,0,42,0,0,2.0,1,1,1,0,0,1,5.0,0,1,0,0,0,1,3,2,1,0,0,1,1,0.0,0.0,0.0,0.0,1,5.0,0,0,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,3,0,7,0.404,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,0,32,1,1,1.0,1,1,1,1,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0.99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
10,0,29,0,1,0.0,0,1,1,0,0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.949,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,0,26,1,1,1.0,0,0,1,1,1,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
12,0,30,1,1,0.0,0,1,1,0,0,1,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
13,1,50,0,1,2.0,1,1,1,0,1,1,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,0.447,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
14,0,50,1,0,1.0,0,1,1,0,1,0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,4.0,0,0,0,3,1,0,0,0,2,1,1,0,0,1,1,0,0,0,0,1,0,4,0.633,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
